energy_eV,"F19(n,elastic)","F19(n,absorption)","Li6(n,elastic)","Li6(n,inelastic)","Li6(n,t)","Li7(n,elastic)","Li7(n,inelastic)","Li7(n,Xt)","Be9(n,elastic)","Be9(n,absorption)","U235(n,elastic)","U235(n,inelastic)","U235(n,2n)","U235(n,gamma)","U235(n,fission)","U238(n,elastic)","U238(n,inelastic)","U238(n,2n)","U238(n,gamma)","U238(n,fission)"
80.52847,0.176747185,8.37070613e-06,0.001074908,0,0.0239136945,0.0181804999,0,0,0.0590774474,1.47186995e-06,0.000192883062,5.31378938e-14,0,0.000139668739,0.00034790571,0.0380737325,0,0,0.234040177,6.24152998e-07
81.28726,0.17674714,8.33049598e-06,0.00107489755,0,0.0237961342,0.0181849815,0,0,0.0590773425,1.46507345e-06,0.000181022148,6.57425712e-14,0,0.00017638712,0.000434001368,0.0356202354,0,0,0.0299720486,7.50942046e-08
81.8724,0.176747105,8.29948797e-06,0.00107488961,0,0.023715119,0.0181884375,0,0,0.0590772616,1.45983234e-06,0.000185203468,7.54626564e-14,0,7.95434074e-05,0.000144005827,0.0291274394,0,0,0.000945237143,8.46597012e-10
82.78028,0.176746892,8.25639795e-06,0.00107487729,0,0.0235894189,0.0181937997,0,0,0.0590771361,1.45170044e-06,0.000195727919,9.05439542e-14,0,0.000722697653,0.000422124344,0.0274465,0,0,0.00039008917,1.16344062e-10
83.72012,0.176746541,8.21596203e-06,0.00107486453,0,0.0234592938,0.0181993507,0,0,0.0590770061,1.44328227e-06,0.00017444453,1.0615614e-13,0,0.000388108438,0.00101223841,0.0265472385,0,0,0.00243802858,1.19087381e-10
85.546,0.176745859,8.13740489e-06,0.00107483975,0,0.0232064924,0.0182101349,0,0,0.0590767537,1.42692781e-06,0.000214254188,1.3559773e-13,0,6.14958763e-05,0.000496773606,0.0252852157,0,0,0.000203212551,2.40891442e-10
87.78072,0.176745023,8.04125771e-06,0.00107480945,0,0.0229010394,0.0182233343,0,0,0.0590764475,1.40739768e-06,0.000177247502,1.69093727e-13,0,5.26722428e-05,0.000312271962,0.0238954357,0,0,0.000225638455,3.77392136e-10
88.85173,0.176744623,7.9951783e-06,0.00107479501,0,0.022767839,0.0182296621,0,0,0.0590763102,1.39966001e-06,0.000186075691,1.85146243e-13,0,0.000157088465,0.000981857853,0.0232231321,0,0,0.00550406826,4.38441189e-10
89.74607,0.176744289,7.95669998e-06,0.00107478296,0,0.0226566108,0.018234946,0,0,0.0590761954,1.39319871e-06,0.00016762614,1.9855091e-13,0,0.000273209646,0.000405654675,0.0225917674,0,0,0.00284337345,4.89895268e-10
90.65338,0.17674395,7.91766363e-06,0.00107477073,0,0.0225437696,0.0182403066,0,0,0.0590760791,1.38664371e-06,0.00035658987,2.12149991e-13,0,0.00124402618,0.000520976434,0.0219025433,0,0,0.00028311886,5.44369152e-10
92.29272,0.176743337,7.84713224e-06,0.00107474863,0,0.0223398866,0.0182499921,0,0,0.0590758688,1.37480005e-06,0.000208222059,2.36720701e-13,0,0.000537155205,0.000633327794,0.0205014177,0,0,0.000334702171,6.55349736e-10
93.31782,0.176742954,7.80302807e-06,0.00107473481,0,0.0222123959,0.0182560486,0,0,0.0590757373,1.36739406e-06,0.000203779308,2.52085277e-13,0,0.000128522898,0.000160531651,0.0194623325,0,0,0.00119379666,7.39363035e-10
94.47998,0.17674252,7.75302699e-06,0.00107471952,0,0.0220762879,0.0182625373,0,0,0.0590755882,1.35899786e-06,0.000279289676,2.69504046e-13,0,0.000590269341,0.00022406752,0.0180630004,0,0,0.00047985535,8.58641521e-10
96.37073,0.176741813,7.67167887e-06,0.00107469499,0,0.0218629684,0.0182727303,0,0,0.0590753457,1.34533784e-06,0.000205189336,2.97842918e-13,0,4.61092276e-05,0.000359203442,0.0150126077,0,0,0.000770399203,1.15891779e-09
97.94894,0.176741524,7.60935814e-06,0.00107467452,0,0.0216849106,0.0182812384,0,0,0.0590751433,1.33393582e-06,0.000189449041,3.21497555e-13,0,0.000226059819,0.000792726829,0.0112009176,0,0,0.00193702633,1.65456192e-09
