energy_mid_eV,"U (n,2n)","U (n,2n) err",U nu-fission,U nu-fission err,"U (n,elastic)","U (n,elastic) err","U (n,n')","U (n,n') err"
48.44346645246916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49.255238856343404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.080614218138464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.91982048409066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51.773089420156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.64065667601766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53.522761850166106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.419648556069525,0.0,0.0,0.0,0.0,2.2115603360631835e-08,1.5558912379296092e-08,0.0,0.0
55.33156448945336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56.2587614967071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57.20149564443739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58.1600272901867,0.0,0.0,0.0,0.0,1.0346654038572387e-08,1.0346654038572387e-08,0.0,0.0
59.134621154336976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.12554639321823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.13307667344216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.157490247481476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63.199070030515685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64.2581036785645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65.33488366793061,0.0,0.0,0.0,0.0,9.210419418575915e-09,9.210419418575915e-09,0.0,0.0
66.42970737597383,0.0,0.0,0.0,0.0,1.8117246184442194e-08,1.2745962266607552e-08,0.0,0.0
67.54287716323847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68.67470045695717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69.82548983595395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70.99556311696992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
