filename,fertile_kg/m3,fertile_mt,energy mid [eV],mean
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0049324757335893,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0050472831667802,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.00516476283749,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0052849769442466,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0054079891333001,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0055338645323194,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0056626697848735,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0057944730857152,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0059293442168867,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0060673545846641,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0062085772573639,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0063530870040276,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0065009603340075,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0066522755374743,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0068071127268669,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.006965553879307,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0071276828800015,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0072935855666542,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0074633497749124,0.0
